671 markers:
  type 0 ((type 0)): 0 markers
  type 1 ((type 1)): 0 markers
  type 2 ((type 2)): 0 markers
  type 3 ((type 3)): 1 markers
  type 4 ((type 4)): 24 markers
  type 5 ((type 5)): 39 markers
  type 6 ((type 6)): 79 markers
  type 7 ((type 7)): 42 markers
  type 8 ((type 8)): 0 markers
  type 9 ((type 9)): 0 markers
  type 10 ((type 10)): 0 markers
  type 11 ((type 11)): 4 markers
  type 12 ((type 12)): 131 markers
  type 13 ((type 13)): 196 markers
  type 14 ((type 14)): 23 markers
  type 15 ((type 15)): 0 markers
  type 16 ((type 16)): 4 markers
  type 17 (neighbourhood): 13 markers
  type 18 (engage tip sms): 56 markers
  type 19 (money pickup): 59 markers
  type 20 ((type 20)): 0 markers
type 0 ((type 0)) markers:
type 1 ((type 1)) markers:
type 2 ((type 2)) markers:
type 3 ((type 3)) markers:
  structsize 116 areaMin (-1795.22, -2318.09) areaMax ( 2288.66,   331.65) position (-1334.23,  -213.86) radius 6
  structsize 100 areaMin (   39.53,  -142.85) areaMax (  157.83,   -21.09) position (   39.53,   -53.76) radius 4
  structsize 100 areaMin (  155.30,  -303.60) areaMax (  308.39,  -157.35) position (  155.30,  -187.28) radius 4
  structsize 100 areaMin (  320.37,  -384.00) areaMax (  409.31,  -297.61) position (  320.37,  -330.97) radius 4
  structsize 100 areaMin (  412.74,  -446.43) areaMax (  511.95,  -366.04) position (  412.74,  -402.81) radius 4
  structsize 100 areaMin (  523.07,  -477.22) areaMax (  574.38,  -441.30) position (  523.07,  -462.68) radius 4
  structsize 100 areaMin (  587.21,  -549.92) areaMax (  679.58,  -467.81) position (  587.21,  -502.88) radius 4
  structsize 100 areaMin (  173.20, -1245.69) areaMax (  343.16, -1040.77) position (  173.20, -1068.93) radius 4
  structsize 100 areaMin (  110.73,  -964.79) areaMax (  229.04,  -860.24) position (  110.73,  -860.24) radius 4
  structsize 100 areaMin (  326.69, -1527.43) areaMax (  434.80, -1411.18) position (  326.69, -1434.43) radius 4
  structsize 100 areaMin ( -890.65,  -176.05) areaMax ( -761.29,   -91.94) position ( -842.94,   -91.94) radius 4
  structsize 100 areaMin (-1085.35,  -100.04) areaMax ( -868.59,    10.94) position ( -868.59,   -69.39) radius 4
  structsize 100 areaMin ( -747.05,  -289.35) areaMax ( -644.11,  -160.28) position ( -710.59,  -160.28) radius 4
  structsize 100 areaMin ( -608.60,  -334.34) areaMax ( -507.98,  -259.62) position ( -597.50,  -259.62) radius 4
  structsize 100 areaMin ( -480.19,  -343.65) areaMax ( -369.21,  -275.48) position ( -478.07,  -275.48) radius 4
  structsize 100 areaMin ( -226.91,  -878.09) areaMax (  -23.70,  -792.97) position (  -23.70,  -792.97) radius 4
  structsize 108 areaMin ( -395.97,  -847.71) areaMax ( -295.60,  -721.79) position ( -295.60,  -798.44) radius 5
  structsize 100 areaMin ( -380.94,  -668.84) areaMax ( -305.40,  -596.96) position ( -319.34,  -668.84) radius 4
  structsize 100 areaMin ( -259.20,  -640.65) areaMax (  -81.19,  -526.56) position ( -248.93,  -526.56) radius 4
  structsize 100 areaMin ( -205.60,  -662.23) areaMax (  -21.58,  -537.43) position ( -191.52,  -537.43) radius 4
  structsize 100 areaMin (  -36.25,  -800.84) areaMax (   20.96,  -654.17) position (   20.96,  -657.83) radius 4
  structsize 100 areaMin ( -325.20,   -68.19) areaMax ( -262.86,    63.08) position ( -317.13,    63.08) radius 4
  structsize 100 areaMin ( -354.54,  -276.47) areaMax ( -273.13,  -103.40) position ( -319.33,  -103.40) radius 4
  structsize 100 areaMin ( -353.07,  -443.69) areaMax ( -292.93,  -371.08) position ( -349.40,  -371.08) radius 4
  structsize 116 areaMin ( -507.59,  -280.16) areaMax ( -407.57,  -157.11) position ( -473.77,  -280.16) radius 6
  structsize 116 areaMin ( -646.09,  -241.10) areaMax ( -526.54,   -45.30) position ( -646.09,  -224.15) radius 6
  structsize 116 areaMin ( -138.01,  -111.87) areaMax (   47.19,   -20.83) position (   15.19,   -20.83) radius 6
  structsize 100 areaMin ( -265.71,    68.18) areaMax ( -209.65,   109.75) position ( -261.28,   109.75) radius 4
  structsize 116 areaMin ( -758.47,  -160.21) areaMax ( -627.61,    51.85) position ( -719.55,  -160.21) radius 6
  structsize 116 areaMin ( -820.55,  -405.48) areaMax ( -682.12,  -265.16) position ( -682.12,  -361.87) radius 6
  structsize 100 areaMin ( -830.66,  -258.20) areaMax ( -750.39,  -182.35) position ( -785.15,  -182.35) radius 4
  structsize 100 areaMin ( -933.69,  -349.23) areaMax ( -823.71,  -254.41) position ( -823.71,  -292.34) radius 4
  structsize 100 areaMin (-1030.40,  -322.05) areaMax ( -934.32,  -201.95) position ( -934.32,  -301.82) radius 4
  structsize 108 areaMin (-1031.03,  -200.68) areaMax ( -896.40,   -99.55) position ( -896.40,  -119.15) radius 5
  structsize 116 areaMin ( -871.44,   -86.93) areaMax ( -756.09,   203.63) position ( -805.14,   203.63) radius 6
  structsize 100 areaMin ( -715.89,    51.24) areaMax ( -615.38,   177.49) position ( -615.38,    81.98) radius 4
  structsize 100 areaMin ( -623.69,   -54.24) areaMax ( -529.00,    53.74) position ( -587.14,    53.74) radius 4
  structsize 100 areaMin ( -527.34,  -109.89) areaMax ( -441.79,   -31.82) position ( -496.61,   -31.82) radius 4
  structsize 100 areaMin ( -495.78,    57.06) areaMax ( -309.73,   169.19) position ( -309.73,   117.69) radius 4
  structsize 116 areaMin ( -494.58,   -54.24) areaMax ( -368.70,    38.99) position ( -380.33,   -54.24) radius 6
  structsize 116 areaMin ( -556.10,    14.11) areaMax ( -474.83,   157.34) position ( -474.83,   118.72) radius 6
  structsize 100 areaMin ( -695.31,  -389.04) areaMax ( -614.04,  -315.81) position ( -675.20,  -315.81) radius 4
  structsize 100 areaMin (-1263.75,  -150.72) areaMax (-1061.83,    71.39) position (-1185.67,    71.39) radius 4
  structsize 108 areaMin (-1257.91,  -363.40) areaMax (-1129.14,  -152.06) position (-1251.63,  -152.06) radius 5
  structsize 116 areaMin ( -937.99,  -546.35) areaMax ( -749.60,  -351.29) position ( -885.49,  -351.29) radius 6
  structsize 108 areaMin (-1073.28,  -474.57) areaMax ( -929.82,  -338.07) position ( -963.73,  -338.07) radius 5
  structsize 108 areaMin (-1048.20,  -658.67) areaMax ( -876.23,  -464.31) position (-1001.39,  -464.31) radius 5
  structsize 108 areaMin ( -984.44,  -790.97) areaMax ( -865.37,  -626.74) position ( -984.44,  -648.29) radius 5
  structsize 108 areaMin ( -805.84,  -752.99) areaMax ( -713.46,  -550.78) position ( -768.89,  -550.78) radius 5
  structsize 100 areaMin ( -746.31,  -517.93) areaMax ( -641.29,  -401.40) position ( -699.34,  -401.40) radius 4
  structsize 116 areaMin ( -702.17,  -584.65) areaMax ( -548.20,  -474.82) position ( -684.72,  -526.15) radius 6
  structsize 100 areaMin ( -649.82,  -436.84) areaMax ( -521.07,  -374.23) position ( -521.07,  -384.44) radius 4
  structsize 100 areaMin ( -496.88,  -473.13) areaMax ( -338.66,  -393.73) position ( -489.89,  -393.73) radius 4
  structsize 100 areaMin ( -510.14,  -560.02) areaMax ( -378.96,  -480.98) position ( -505.05,  -480.98) radius 4
  structsize 100 areaMin ( -544.10,  -709.88) areaMax ( -376.79,  -624.68) position ( -527.67,  -624.68) radius 4
  structsize 100 areaMin ( -568.73,  -633.92) areaMax ( -499.96,  -535.38) position ( -543.07,  -535.38) radius 4
  structsize 108 areaMin ( -642.64,  -794.05) areaMax ( -554.36,  -656.50) position ( -554.36,  -682.17) radius 5
  structsize 108 areaMin ( -849.33,   210.12) areaMax ( -698.55,   344.62) position ( -849.33,   309.87) radius 5
  structsize 108 areaMin (  -20.68,   349.95) areaMax (  239.75,   506.96) position (  -20.68,   431.49) radius 5
  structsize 100 areaMin (  178.79,  -869.62) areaMax (  347.53,  -796.11) position (  178.79,  -801.12) radius 4
  structsize 108 areaMin (  362.57,  -867.95) areaMax (  519.61,  -754.34) position (  461.13,  -754.34) radius 5
  structsize 100 areaMin (  571.37,  -690.51) areaMax (  700.95,  -546.16) position (  643.21,  -546.16) radius 4
  structsize 100 areaMin (  508.26,  -783.17) areaMax (  651.27,  -622.03) position (  575.40,  -622.03) radius 4
  structsize 100 areaMin (  406.21,  -775.11) areaMax (  522.36,  -648.89) position (  466.64,  -775.11) radius 4
  structsize 100 areaMin (  371.97,  -660.30) areaMax (  582.79,  -447.47) position (  371.97,  -569.66) radius 4
  structsize 108 areaMin (  110.12,  -724.08) areaMax (  278.64,  -612.63) position (  110.12,  -612.63) radius 5
  structsize 100 areaMin (  313.56,  -719.38) areaMax (  412.25,  -642.84) position (  313.56,  -671.71) radius 4
  structsize 100 areaMin (  271.93,  -818.75) areaMax (  352.50,  -710.66) position (  271.93,  -718.04) radius 4
  structsize 108 areaMin (  228.29,  -682.46) areaMax (  312.89,  -536.76) position (  312.89,  -560.93) radius 5
  structsize 100 areaMin (  305.50,  -537.44) areaMax (  420.98,  -385.03) position (  378.68,  -385.03) radius 4
  structsize 100 areaMin (  305.50,  -605.92) areaMax (  372.64,  -526.69) position (  372.64,  -577.72) radius 4
  structsize 100 areaMin (  241.05,  -543.48) areaMax (  318.93,  -460.90) position (  268.57,  -460.90) radius 4
  structsize 100 areaMin (  451.19,  -269.55) areaMax (  535.12,  -109.08) position (  535.12,  -125.20) radius 4
  structsize 108 areaMin (  400.17,  -372.94) areaMax (  508.26,  -195.69) position (  459.92,  -195.69) radius 5
  structsize 100 areaMin (  356.53,  -207.78) areaMax (  457.24,   -63.43) position (  418.29,   -63.43) radius 4
  structsize 108 areaMin (  305.50,  -305.13) areaMax (  422.99,  -150.71) position (  365.93,  -150.71) radius 5
  structsize 108 areaMin (  648.58,  -315.29) areaMax (  791.26,  -166.32) position (  680.06,  -166.32) radius 5
  structsize 108 areaMin (  777.62,  -302.70) areaMax ( 1083.94,  -192.55) position ( 1083.94,  -215.63) radius 5
  structsize 100 areaMin (  823.78,  -540.83) areaMax ( 1079.75,  -332.07) position ( 1079.75,  -465.30) radius 4
  structsize 108 areaMin (  502.77,  -428.58) areaMax (  632.85,  -205.14) position (  632.85,  -233.46) radius 5
  structsize 116 areaMin (  675.86,  -523.00) areaMax (  791.26,  -317.38) position (  757.69,  -317.38) radius 6
  structsize 100 areaMin (   69.54,  -553.74) areaMax (  178.64,  -460.08) position (  139.53,  -460.08) radius 4
  structsize 100 areaMin (   14.98,  -866.64) areaMax (  122.03,  -781.21) position (  107.62,  -788.42) radius 4
  structsize 116 areaMin (   49.85,   -24.67) areaMax (  252.88,    93.61) position (  252.88,    80.75) radius 6
  structsize 100 areaMin (    6.81,  -305.23) areaMax (  141.91,  -149.23) position (    6.81,  -183.01) radius 4
  structsize 100 areaMin (  183.54,  -131.15) areaMax (  335.24,    21.49) position (  335.24,   -52.04) radius 4
  structsize 108 areaMin (  279.28,    38.05) areaMax (  397.56,   251.33) position (  313.21,   251.33) radius 5
  structsize 108 areaMin (  411.13,   -38.54) areaMax (  516.80,   156.32) position (  440.21,   156.32) radius 5
  structsize 100 areaMin (  346.17,   -72.47) areaMax (  446.03,    23.50) position (  446.03,   -24.00) radius 4
  structsize 100 areaMin ( -306.63,   386.81) areaMax ( -130.97,   583.47) position ( -254.25,   583.47) radius 4
  structsize 100 areaMin ( -381.27,  -107.33) areaMax ( -321.52,   -65.40) position ( -379.18,   -65.40) radius 4
  structsize 100 areaMin ( -116.30,  -343.47) areaMax (   81.71,  -212.21) position (   51.98,  -212.21) radius 4
  structsize 148 areaMin ( -168.80,  -233.49) areaMax (   57.54,   -49.63) position (   47.05,  -178.55) radius 10
  structsize 108 areaMin ( -152.03,    71.23) areaMax (  -75.50,   118.29) position (  -94.73,   118.29) radius 5
  structsize 148 areaMin ( -197.94,  -301.36) areaMax (  -86.70,   -56.49) position ( -197.94,   -57.83) radius 10
  structsize 140 areaMin ( -300.59,  -356.86) areaMax (  -69.77,  -180.06) position ( -298.55,  -281.56) radius 9
  structsize 100 areaMin ( -280.54,  -110.49) areaMax ( -188.04,   -65.06) position ( -276.85,   -69.97) radius 4
  structsize 108 areaMin (    3.37,   257.76) areaMax (  240.38,   400.99) position (    3.37,   329.63) radius 5
type 13 ((type 13)) markers:
  structsize 108 areaMin ( -407.13,   245.21) areaMax ( -386.58,   285.43) position ( -404.96,   281.61) radius 5
  structsize 108 areaMin ( -358.61,   244.92) areaMax ( -343.85,   262.47) position ( -358.61,   262.47) radius 5
  structsize 100 areaMin ( -368.27,   272.14) areaMax ( -355.30,   285.37) position ( -368.27,   285.37) radius 4
  structsize 100 areaMin (  346.34,  -491.46) areaMax (  359.75,  -478.07) position (  346.34,  -478.07) radius 4
  structsize 100 areaMin (-1297.49,  -827.88) areaMax (-1284.08,  -814.49) position (-1297.49,  -814.49) radius 4
  structsize 100 areaMin (-1206.70,  -672.69) areaMax (-1193.30,  -659.31) position (-1206.70,  -659.31) radius 4
  structsize 100 areaMin ( -526.57,  -881.72) areaMax ( -513.16,  -868.34) position ( -526.57,  -868.34) radius 4
  structsize 100 areaMin ( -539.42,    81.47) areaMax ( -526.01,    94.86) position ( -539.42,    94.86) radius 4
  structsize 100 areaMin (  654.53,  -596.76) areaMax (  667.94,  -583.37) position (  654.53,  -583.37) radius 4
  structsize 100 areaMin (-1002.66,  -250.43) areaMax ( -989.25,  -237.04) position (-1002.66,  -237.04) radius 4
  structsize 100 areaMin ( -409.40,  -534.11) areaMax ( -395.99,  -520.72) position ( -409.40,  -520.72) radius 4
  structsize 100 areaMin (  742.81,  -278.88) areaMax (  756.22,  -265.49) position (  742.81,  -265.49) radius 4
  structsize 100 areaMin ( -250.26,    71.84) areaMax ( -236.85,    85.23) position ( -250.26,    85.23) radius 4
  structsize 100 areaMin (  108.70,    17.39) areaMax (  122.11,    30.78) position (  108.70,    30.78) radius 4
  structsize 100 areaMin (    0.37,  -586.34) areaMax (   13.78,  -572.95) position (    0.37,  -572.95) radius 4
  structsize 100 areaMin ( -817.56,   113.90) areaMax ( -804.15,   127.29) position ( -817.56,   127.29) radius 4
  structsize 100 areaMin (  284.13,   483.25) areaMax (  297.54,   496.64) position (  284.13,   496.64) radius 4
  structsize 100 areaMin ( -687.64,    -6.69) areaMax ( -674.23,     6.69) position ( -687.64,     6.69) radius 4
  structsize 100 areaMin (  958.23,    -0.19) areaMax (  971.64,    13.20) position (  958.23,    13.20) radius 4
  structsize 100 areaMin (  874.48,    -3.74) areaMax (  887.89,     9.64) position (  874.48,     9.64) radius 4
  structsize 100 areaMin ( 1073.75,   -34.09) areaMax ( 1087.16,   -20.70) position ( 1073.75,   -20.70) radius 4
  structsize 100 areaMin ( -676.00,    -6.00) areaMax ( -668.00,     2.00) position ( -676.00,    -6.00) radius 4
  structsize 100 areaMin (-1010.00,  -114.00) areaMax (-1002.00,  -106.00) position (-1010.00,  -114.00) radius 4
  structsize 100 areaMin (  222.00,    49.00) areaMax (  230.00,    57.00) position (  222.00,    49.00) radius 4
  structsize 100 areaMin ( -937.00,  -325.00) areaMax ( -929.00,  -317.00) position ( -937.00,  -325.00) radius 4
  structsize 100 areaMin (-1243.00,  2001.00) areaMax (-1235.00,  2009.00) position (-1243.00,  2001.00) radius 4
  structsize 100 areaMin ( -989.00,   714.00) areaMax ( -981.00,   722.00) position ( -989.00,   714.00) radius 4
  structsize 100 areaMin (  222.00,  -482.00) areaMax (  230.00,  -474.00) position (  222.00,  -482.00) radius 4
  structsize 100 areaMin (  164.00,  -191.00) areaMax (  172.00,  -183.00) position (  164.00,  -191.00) radius 4
  structsize 100 areaMin (-1059.00,  1874.00) areaMax (-1051.00,  1882.00) position (-1059.00,  1874.00) radius 4
  structsize 100 areaMin (-1493.00,   849.00) areaMax (-1485.00,   857.00) position (-1493.00,   849.00) radius 4
  structsize 100 areaMin ( -463.00,   128.00) areaMax ( -455.00,   136.00) position ( -463.00,   128.00) radius 4
  structsize 100 areaMin (-1645.00,   618.00) areaMax (-1637.00,   626.00) position (-1645.00,   618.00) radius 4
  structsize 100 areaMin (  347.00, -1561.00) areaMax (  355.00, -1553.00) position (  347.00, -1561.00) radius 4
  structsize 100 areaMin (  316.00,   839.00) areaMax (  324.00,   847.00) position (  316.00,   839.00) radius 4
  structsize 100 areaMin ( -811.00,   147.00) areaMax ( -803.00,   155.00) position ( -811.00,   147.00) radius 4
  structsize 100 areaMin (-1009.00,  -158.00) areaMax (-1001.00,  -150.00) position (-1009.00,  -158.00) radius 4
  structsize 100 areaMin ( -257.00, -2004.00) areaMax ( -249.00, -1996.00) position ( -257.00, -2004.00) radius 4
  structsize 100 areaMin (  448.00, -1806.00) areaMax (  456.00, -1798.00) position (  448.00, -1806.00) radius 4
  structsize 100 areaMin (-1958.00,  1813.00) areaMax (-1950.00,  1821.00) position (-1958.00,  1813.00) radius 4
  structsize 100 areaMin (-1287.00, -1428.00) areaMax (-1279.00, -1420.00) position (-1287.00, -1428.00) radius 4
  structsize 100 areaMin (-1085.00, -1775.00) areaMax (-1077.00, -1767.00) position (-1085.00, -1775.00) radius 4
  structsize 100 areaMin (-1012.00, -1775.00) areaMax (-1004.00, -1767.00) position (-1012.00, -1775.00) radius 4
  structsize 100 areaMin (  302.00,   482.00) areaMax (  310.00,   490.00) position (  302.00,   482.00) radius 4
  structsize 100 areaMin (-1562.00,   811.00) areaMax (-1554.00,   819.00) position (-1562.00,   811.00) radius 4
  structsize 100 areaMin ( -169.00,  -839.00) areaMax ( -161.00,  -831.00) position ( -169.00,  -839.00) radius 4
  structsize 100 areaMin ( -355.00,  -457.00) areaMax ( -347.00,  -449.00) position ( -355.00,  -457.00) radius 4
  structsize 100 areaMin ( -140.00,    82.00) areaMax ( -132.00,    90.00) position ( -140.00,    82.00) radius 4
  structsize 100 areaMin (-1178.00, -1381.00) areaMax (-1170.00, -1373.00) position (-1178.00, -1381.00) radius 4
  structsize 100 areaMin (-1374.00, -1816.00) areaMax (-1366.00, -1808.00) position (-1374.00, -1816.00) radius 4
  structsize 100 areaMin ( -610.00,  -770.00) areaMax ( -602.00,  -762.00) position ( -610.00,  -770.00) radius 4
  structsize 100 areaMin (-1582.00,   514.00) areaMax (-1574.00,   522.00) position (-1582.00,   514.00) radius 4
  structsize 100 areaMin ( -305.00,  -558.00) areaMax ( -297.00,  -550.00) position ( -305.00,  -558.00) radius 4
  structsize 100 areaMin ( -572.00,   496.00) areaMax ( -564.00,   504.00) position ( -572.00,   496.00) radius 4
  structsize 100 areaMin (-2356.00,  1640.00) areaMax (-2348.00,  1648.00) position (-2356.00,  1640.00) radius 4
  structsize 100 areaMin (-1299.00,   793.00) areaMax (-1291.00,   801.00) position (-1299.00,   793.00) radius 4
  structsize 100 areaMin (-1639.00,   479.00) areaMax (-1631.00,   487.00) position (-1639.00,   479.00) radius 4
  structsize 100 areaMin (  657.00,  -541.00) areaMax (  665.00,  -533.00) position (  657.00,  -541.00) radius 4
  structsize 100 areaMin ( -677.00,   108.00) areaMax ( -669.00,   116.00) position ( -677.00,   108.00) radius 4
  structsize 100 areaMin (  630.00, -1227.00) areaMax (  638.00, -1219.00) position (  630.00, -1227.00) radius 4
  structsize 100 areaMin (-2126.00,  1954.00) areaMax (-2118.00,  1962.00) position (-2126.00,  1954.00) radius 4
  structsize 100 areaMin ( -479.00,   569.00) areaMax ( -471.00,   577.00) position ( -479.00,   569.00) radius 4
  structsize 100 areaMin ( -752.00,  1805.00) areaMax ( -744.00,  1813.00) position ( -752.00,  1805.00) radius 4
  structsize 100 areaMin (  354.00,  -478.00) areaMax (  362.00,  -470.00) position (  354.00,  -478.00) radius 4
  structsize 100 areaMin (-2011.00,  2744.00) areaMax (-2003.00,  2752.00) position (-2011.00,  2744.00) radius 4
  structsize 100 areaMin (-3074.00,  2312.00) areaMax (-3066.00,  2320.00) position (-3074.00,  2312.00) radius 4
  structsize 100 areaMin (-1129.00,  -467.00) areaMax (-1121.00,  -459.00) position (-1129.00,  -467.00) radius 4
  structsize 100 areaMin (-1660.00,  2039.00) areaMax (-1652.00,  2047.00) position (-1660.00,  2039.00) radius 4
  structsize 100 areaMin ( -681.00,  -556.00) areaMax ( -673.00,  -548.00) position ( -681.00,  -556.00) radius 4
  structsize 100 areaMin ( -861.00,   734.00) areaMax ( -853.00,   742.00) position ( -861.00,   734.00) radius 4
  structsize 100 areaMin ( 1845.00,  -938.00) areaMax ( 1853.00,  -930.00) position ( 1845.00,  -938.00) radius 4
  structsize 100 areaMin (   41.00, -1283.00) areaMax (   49.00, -1275.00) position (   41.00, -1283.00) radius 4
  structsize 100 areaMin (-2141.00,  1683.00) areaMax (-2133.00,  1691.00) position (-2141.00,  1683.00) radius 4
  structsize 100 areaMin ( -125.00, -1760.00) areaMax ( -117.00, -1752.00) position ( -125.00, -1760.00) radius 4
  structsize 100 areaMin (  468.00, -1850.00) areaMax (  476.00, -1842.00) position (  468.00, -1850.00) radius 4
  structsize 100 areaMin (  249.00,   723.00) areaMax (  257.00,   731.00) position (  249.00,   723.00) radius 4
  structsize 100 areaMin (-2136.00,  1123.00) areaMax (-2128.00,  1131.00) position (-2136.00,  1123.00) radius 4
  structsize 100 areaMin (  380.00, -1539.00) areaMax (  388.00, -1531.00) position (  380.00, -1539.00) radius 4
  structsize 100 areaMin ( 1807.00,  -878.00) areaMax ( 1815.00,  -870.00) position ( 1807.00,  -878.00) radius 4
  structsize 100 areaMin (  856.00, -1542.00) areaMax (  864.00, -1534.00) position (  856.00, -1542.00) radius 4
  structsize 100 areaMin (  349.00,  -489.00) areaMax (  357.00,  -481.00) position (  349.00,  -489.00) radius 4
  structsize 100 areaMin ( -632.00,   228.00) areaMax ( -624.00,   236.00) position ( -632.00,   228.00) radius 4
  structsize 100 areaMin (-1079.00,  -506.00) areaMax (-1071.00,  -498.00) position (-1079.00,  -506.00) radius 4
  structsize 100 areaMin ( -212.00,   224.00) areaMax ( -204.00,   232.00) position ( -212.00,   224.00) radius 4
  structsize 100 areaMin ( -518.00,   307.00) areaMax ( -510.00,   315.00) position ( -518.00,   307.00) radius 4
  structsize 100 areaMin (  458.00,   -50.00) areaMax (  466.00,   -42.00) position (  458.00,   -50.00) radius 4
  structsize 100 areaMin ( -282.00,    93.00) areaMax ( -274.00,   101.00) position ( -282.00,    93.00) radius 4
  structsize 100 areaMin (  715.00,  -509.00) areaMax (  723.00,  -501.00) position (  715.00,  -509.00) radius 4
  structsize 100 areaMin (-1342.00,   221.00) areaMax (-1334.00,   229.00) position (-1342.00,   221.00) radius 4
  structsize 100 areaMin (-1569.00,   404.00) areaMax (-1561.00,   412.00) position (-1569.00,   404.00) radius 4
  structsize 100 areaMin ( -473.00,   606.00) areaMax ( -465.00,   614.00) position ( -473.00,   606.00) radius 4
  structsize 100 areaMin ( -437.00,  -150.00) areaMax ( -429.00,  -142.00) position ( -437.00,  -150.00) radius 4
  structsize 100 areaMin ( -633.00,   206.00) areaMax ( -625.00,   214.00) position ( -633.00,   206.00) radius 4
  structsize 100 areaMin (-1663.00,   512.00) areaMax (-1655.00,   520.00) position (-1663.00,   512.00) radius 4
  structsize 100 areaMin ( -658.00,   580.00) areaMax ( -650.00,   588.00) position ( -658.00,   580.00) radius 4
  structsize 100 areaMin ( -881.00,  -874.00) areaMax ( -873.00,  -866.00) position ( -881.00,  -874.00) radius 4
  structsize 100 areaMin ( -859.00,   281.00) areaMax ( -851.00,   289.00) position ( -859.00,   281.00) radius 4
  structsize 100 areaMin (-1188.00,   556.00) areaMax (-1180.00,   564.00) position (-1188.00,   556.00) radius 4
  structsize 100 areaMin (  785.00,  -335.00) areaMax (  793.00,  -327.00) position (  785.00,  -335.00) radius 4
  structsize 100 areaMin (  271.00,  -315.00) areaMax (  279.00,  -307.00) position (  271.00,  -315.00) radius 4
  structsize 100 areaMin (  571.00,  -494.00) areaMax (  579.00,  -486.00) position (  571.00,  -494.00) radius 4
  structsize 100 areaMin ( -231.00,   302.00) areaMax ( -223.00,   310.00) position ( -231.00,   302.00) radius 4
  structsize 100 areaMin (  547.00,  -765.00) areaMax (  555.00,  -757.00) position (  547.00,  -765.00) radius 4
  structsize 100 areaMin ( -960.00,   795.00) areaMax ( -952.00,   803.00) position ( -960.00,   795.00) radius 4
  structsize 100 areaMin (   26.00,   826.00) areaMax (   34.00,   834.00) position (   26.00,   826.00) radius 4
  structsize 100 areaMin ( -202.00,   199.00) areaMax ( -194.00,   207.00) position ( -202.00,   199.00) radius 4
  structsize 100 areaMin ( -283.00,   327.00) areaMax ( -275.00,   335.00) position ( -283.00,   327.00) radius 4
  structsize 100 areaMin ( -653.00,   227.00) areaMax ( -645.00,   235.00) position ( -653.00,   227.00) radius 4
  structsize 100 areaMin (  152.00,  -650.00) areaMax (  160.00,  -642.00) position (  152.00,  -650.00) radius 4
  structsize 100 areaMin (-1185.00,  -656.00) areaMax (-1177.00,  -648.00) position (-1185.00,  -656.00) radius 4
  structsize 100 areaMin (-1117.00,  -614.00) areaMax (-1109.00,  -606.00) position (-1117.00,  -614.00) radius 4
  structsize 100 areaMin (-1099.00,  -537.00) areaMax (-1091.00,  -529.00) position (-1099.00,  -537.00) radius 4
  structsize 100 areaMin ( -987.00,  -238.00) areaMax ( -979.00,  -230.00) position ( -987.00,  -238.00) radius 4
  structsize 100 areaMin ( -901.00,  -293.00) areaMax ( -893.00,  -285.00) position ( -901.00,  -293.00) radius 4
  structsize 100 areaMin (  254.00,  -596.00) areaMax (  262.00,  -588.00) position (  254.00,  -596.00) radius 4
  structsize 100 areaMin (  219.00,  -400.00) areaMax (  227.00,  -392.00) position (  219.00,  -400.00) radius 4
  structsize 100 areaMin (  295.00,  -311.00) areaMax (  303.00,  -303.00) position (  295.00,  -311.00) radius 4
  structsize 100 areaMin (  234.00,  -258.00) areaMax (  242.00,  -250.00) position (  234.00,  -258.00) radius 4
  structsize 100 areaMin ( -892.00,   632.00) areaMax ( -884.00,   640.00) position ( -892.00,   632.00) radius 4
  structsize 100 areaMin ( -326.00,  -527.00) areaMax ( -318.00,  -519.00) position ( -326.00,  -527.00) radius 4
  structsize 100 areaMin ( -671.00,  -296.00) areaMax ( -663.00,  -288.00) position ( -671.00,  -296.00) radius 4
  structsize 100 areaMin (-1464.00,  1188.00) areaMax (-1456.00,  1196.00) position (-1464.00,  1188.00) radius 4
  structsize 100 areaMin (-2122.00,  2370.00) areaMax (-2114.00,  2378.00) position (-2122.00,  2370.00) radius 4
  structsize 100 areaMin (-1471.00,   879.00) areaMax (-1463.00,   887.00) position (-1471.00,   879.00) radius 4
  structsize 100 areaMin ( -518.00,   307.00) areaMax ( -510.00,   315.00) position ( -518.00,   307.00) radius 4
  structsize 100 areaMin (-1003.00,  -150.00) areaMax ( -995.00,  -142.00) position (-1003.00,  -150.00) radius 4
  structsize 100 areaMin (-2075.00,  2786.00) areaMax (-2067.00,  2794.00) position (-2075.00,  2786.00) radius 4
  structsize 100 areaMin (-1326.00,   690.00) areaMax (-1318.00,   698.00) position (-1326.00,   690.00) radius 4
  structsize 100 areaMin (  542.00,  -576.00) areaMax (  550.00,  -568.00) position (  542.00,  -576.00) radius 4
  structsize 100 areaMin (-2133.00,  1115.00) areaMax (-2125.00,  1123.00) position (-2133.00,  1115.00) radius 4
  structsize 100 areaMin (-1323.00,  1153.00) areaMax (-1315.00,  1161.00) position (-1323.00,  1153.00) radius 4
  structsize 100 areaMin (-2115.00,  2607.00) areaMax (-2107.00,  2615.00) position (-2115.00,  2607.00) radius 4
  structsize 100 areaMin (-1213.00,  2155.00) areaMax (-1205.00,  2163.00) position (-1213.00,  2155.00) radius 4
  structsize 100 areaMin ( -498.00,  1204.00) areaMax ( -490.00,  1212.00) position ( -498.00,  1204.00) radius 4
